,Map,Round_ID,Round_Number,Player_ID,Agent_ID,Round_Score,Weapon_ID,Armor_ID,Remaining_Credits,Spent_Credits,Loadout_Value,Survived,kast
337,Breeze,2577075,12,3599,3,40,4,1.0,300,3800,3500,False,True
338,Breeze,2577075,12,11412,4,25,13,2.0,350,2500,2500,False,True
339,Breeze,2577075,12,1804,15,0,19,2.0,250,2550,2250,False,False
340,Breeze,2577076,13,763,16,25,11,,100,700,700,True,True
341,Breeze,2577076,13,1012,6,450,12,,100,700,700,True,True
342,Breeze,2577076,13,1023,3,750,12,,0,800,600,True,True
343,Breeze,2577076,13,1802,12,25,12,,100,700,700,False,True
344,Breeze,2577076,13,1597,4,25,11,1.0,0,800,800,True,True
345,Breeze,2577076,13,4509,14,250,13,,0,800,950,False,True
346,Breeze,2577076,13,1091,6,78,11,1.0,0,800,800,False,False
347,Breeze,2577076,13,3599,3,60,12,,0,800,600,False,False
348,Breeze,2577076,13,11412,4,0,12,,0,800,800,False,False
349,Breeze,2577076,13,1804,15,30,12,,0,800,800,False,False
350,Breeze,2577077,14,763,16,122,12,2.0,2150,1250,2200,False,True
351,Breeze,2577077,14,1012,6,70,5,2.0,150,3650,4150,True,True
352,Breeze,2577077,14,1023,3,110,5,2.0,250,3650,3750,True,True
353,Breeze,2577077,14,1802,12,643,4,1.0,100,3300,3300,True,True
354,Breeze,2577077,14,1597,4,177,4,1.0,0,3300,3700,True,True
355,Breeze,2577077,14,4509,14,26,11,,1600,500,650,False,False
356,Breeze,2577077,14,1091,6,0,11,,1900,0,0,False,False
357,Breeze,2577077,14,3599,3,329,12,,1400,500,600,False,True
358,Breeze,2577077,14,11412,4,0,11,,1500,400,700,False,False
359,Breeze,2577077,14,1804,15,0,11,,1900,0,300,False,False
360,Breeze,2577078,15,763,16,195,5,1.0,1900,650,3150,True,True
361,Breeze,2577078,15,1012,6,450,5,2.0,3450,200,4150,True,True
362,Breeze,2577078,15,1023,3,705,6,2.0,3250,3400,4600,False,True
363,Breeze,2577078,15,1802,12,0,4,2.0,2250,1550,4450,False,True
